date,product_code,sales,category,sub_category,brand,region,mrp,discount,rating
2020-01-01,P001,164,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-02-01,P001,189,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-03-01,P001,232,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-04-01,P001,252,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-05-01,P001,170,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-06-01,P001,126,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-07-01,P001,138,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-08-01,P001,83,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-09-01,P001,40,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-10-01,P001,250,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-11-01,P001,300,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-12-01,P001,160,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-01-01,P001,238,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-02-01,P001,217,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-03-01,P001,243,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-04-01,P001,271,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-05-01,P001,228,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-06-01,P001,224,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-07-01,P001,144,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-08-01,P001,99,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-09-01,P001,179,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-10-01,P001,350,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-11-01,P001,400,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2021-12-01,P001,213,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-01-01,P001,296,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-02-01,P001,359,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-03-01,P001,341,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-04-01,P001,380,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-05-01,P001,321,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-06-01,P001,287,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-07-01,P001,235,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-08-01,P001,279,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-09-01,P001,216,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-10-01,P001,450,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-11-01,P001,500,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2022-12-01,P001,300,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-01-01,P001,400,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-02-01,P001,378,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-03-01,P001,417,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-04-01,P001,456,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-05-01,P001,443,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-06-01,P001,383,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-07-01,P001,331,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-08-01,P001,295,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-09-01,P001,253,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
